algorithm,unique_user_id,k,precision,recall,ndcg,hit_rate
Content,011b4adcd54683b480c4d841250a987f,20,0.0,0.0,0.0,0.0
Content,012452d40dafae4df401bced74cdb490,5,0.0,0.0,0.0,0.0
Content,012452d40dafae4df401bced74cdb490,10,0.0,0.0,0.0,0.0
Content,012452d40dafae4df401bced74cdb490,20,0.0,0.0,0.0,0.0
Content,012a218df8995d3ec3bb221828360c86,5,0.0,0.0,0.0,0.0
Content,012a218df8995d3ec3bb221828360c86,10,0.0,0.0,0.0,0.0
Content,012a218df8995d3ec3bb221828360c86,20,0.0,0.0,0.0,0.0
Content,012b8001e47392df808a454083a74b74,5,0.0,0.0,0.0,0.0
Content,012b8001e47392df808a454083a74b74,10,0.0,0.0,0.0,0.0
Content,012b8001e47392df808a454083a74b74,20,0.0,0.0,0.0,0.0
Content,013ef03e0f3f408dd9bf555e4edcdc0a,5,0.0,0.0,0.0,0.0
Content,013ef03e0f3f408dd9bf555e4edcdc0a,10,0.0,0.0,0.0,0.0
Content,013ef03e0f3f408dd9bf555e4edcdc0a,20,0.0,0.0,0.0,0.0
Content,013f4353d26bb05dc6652f1269458d8d,5,0.0,0.0,0.0,0.0
Content,013f4353d26bb05dc6652f1269458d8d,10,0.0,0.0,0.0,0.0
Content,013f4353d26bb05dc6652f1269458d8d,20,0.0,0.0,0.0,0.0
Content,015557c9912277312b9073947804a7ba,5,0.0,0.0,0.0,0.0
Content,015557c9912277312b9073947804a7ba,10,0.0,0.0,0.0,0.0
Content,015557c9912277312b9073947804a7ba,20,0.0,0.0,0.0,0.0
Content,0178b244a5c281fb2ade54038dd4b161,5,0.0,0.0,0.0,0.0
Content,0178b244a5c281fb2ade54038dd4b161,10,0.0,0.0,0.0,0.0
Content,0178b244a5c281fb2ade54038dd4b161,20,0.0,0.0,0.0,0.0
Content,01886ef98f995e4f2dd75a1d04c97397,5,0.0,0.0,0.0,0.0
Content,01886ef98f995e4f2dd75a1d04c97397,10,0.0,0.0,0.0,0.0
Content,01886ef98f995e4f2dd75a1d04c97397,20,0.0,0.0,0.0,0.0
Content,018b5a7502c30eb5f230f1b4eb23a156,5,0.0,0.0,0.0,0.0
Content,018b5a7502c30eb5f230f1b4eb23a156,10,0.0,0.0,0.0,0.0
Content,018b5a7502c30eb5f230f1b4eb23a156,20,0.0,0.0,0.0,0.0
Content,01a22e2079ea71e17313b88e5811e54a,5,0.0,0.0,0.0,0.0
Content,01a22e2079ea71e17313b88e5811e54a,10,0.0,0.0,0.0,0.0
Content,01a22e2079ea71e17313b88e5811e54a,20,0.0,0.0,0.0,0.0
Content,01c289bb06354cdc7e6549570f20ada4,5,0.0,0.0,0.0,0.0
Content,01c289bb06354cdc7e6549570f20ada4,10,0.0,0.0,0.0,0.0
Content,01c289bb06354cdc7e6549570f20ada4,20,0.0,0.0,0.0,0.0
Content,01e8bcc3377762cf85025138b2901947,5,0.0,0.0,0.0,0.0
Content,01e8bcc3377762cf85025138b2901947,10,0.0,0.0,0.0,0.0
Content,01e8bcc3377762cf85025138b2901947,20,0.0,0.0,0.0,0.0
Content,01ea7dfdac01a4e8fbe2902b73510b20,5,0.0,0.0,0.0,0.0
Content,01ea7dfdac01a4e8fbe2902b73510b20,10,0.0,0.0,0.0,0.0
Content,01ea7dfdac01a4e8fbe2902b73510b20,20,0.0,0.0,0.0,0.0
Content,01f2285f85a1c603eb7ef755ad311769,5,0.0,0.0,0.0,0.0
Content,01f2285f85a1c603eb7ef755ad311769,10,0.0,0.0,0.0,0.0
Content,01f2285f85a1c603eb7ef755ad311769,20,0.0,0.0,0.0,0.0
Content,02168ea18740a0fdaaa15f11bebba5db,5,0.0,0.0,0.0,0.0
Content,02168ea18740a0fdaaa15f11bebba5db,10,0.0,0.0,0.0,0.0
Content,02168ea18740a0fdaaa15f11bebba5db,20,0.0,0.0,0.0,0.0
Content,0241fa2e9adf0576cb0f845377d05c03,5,0.0,0.0,0.0,0.0
Content,0241fa2e9adf0576cb0f845377d05c03,10,0.0,0.0,0.0,0.0
Content,0241fa2e9adf0576cb0f845377d05c03,20,0.0,0.0,0.0,0.0
Content,02552fea6f4fa9a5c61bf9d22408ae73,5,0.0,0.0,0.0,0.0
Content,02552fea6f4fa9a5c61bf9d22408ae73,10,0.0,0.0,0.0,0.0
Content,02552fea6f4fa9a5c61bf9d22408ae73,20,0.0,0.0,0.0,0.0
Content,027803eb28cc01fbdf5da72b109fabee,5,0.0,0.0,0.0,0.0
Content,027803eb28cc01fbdf5da72b109fabee,10,0.0,0.0,0.0,0.0
Content,027803eb28cc01fbdf5da72b109fabee,20,0.0,0.0,0.0,0.0
Content,028df9d72fe22595a5da837157f1258b,5,0.0,0.0,0.0,0.0
Content,028df9d72fe22595a5da837157f1258b,10,0.0,0.0,0.0,0.0
Content,028df9d72fe22595a5da837157f1258b,20,0.0,0.0,0.0,0.0
Content,0299fedc3f190307e87f32483a9ba4fd,5,0.0,0.0,0.0,0.0
Content,0299fedc3f190307e87f32483a9ba4fd,10,0.0,0.0,0.0,0.0
Content,0299fedc3f190307e87f32483a9ba4fd,20,0.0,0.0,0.0,0.0
Content,029b457bd01199c39136f89e0eddcd3a,5,0.0,0.0,0.0,0.0
Content,029b457bd01199c39136f89e0eddcd3a,10,0.0,0.0,0.0,0.0
Content,029b457bd01199c39136f89e0eddcd3a,20,0.0,0.0,0.0,0.0
Content,02b20b7c813efede140142ac610e36dc,5,0.2,1.0,0.6309297535714575,1.0
Content,02b20b7c813efede140142ac610e36dc,10,0.1,1.0,0.6309297535714575,1.0
Content,02b20b7c813efede140142ac610e36dc,20,0.05,1.0,0.6309297535714575,1.0
Content,02dd4969c23207b44ef9252dd7ef59f8,5,0.0,0.0,0.0,0.0
Content,02dd4969c23207b44ef9252dd7ef59f8,10,0.0,0.0,0.0,0.0
Content,02dd4969c23207b44ef9252dd7ef59f8,20,0.0,0.0,0.0,0.0
Content,02e4c56fefa30628768ffe326d332e2f,5,0.0,0.0,0.0,0.0
Content,02e4c56fefa30628768ffe326d332e2f,10,0.0,0.0,0.0,0.0
Content,02e4c56fefa30628768ffe326d332e2f,20,0.0,0.0,0.0,0.0
Content,02e9109b7e0a985108b43e573b6afb23,5,0.0,0.0,0.0,0.0
Content,02e9109b7e0a985108b43e573b6afb23,10,0.0,0.0,0.0,0.0
Content,02e9109b7e0a985108b43e573b6afb23,20,0.0,0.0,0.0,0.0
Content,02e9827c15167f699df7bf90d326ffdb,5,0.0,0.0,0.0,0.0
Content,02e9827c15167f699df7bf90d326ffdb,10,0.0,0.0,0.0,0.0
Content,02e9827c15167f699df7bf90d326ffdb,20,0.0,0.0,0.0,0.0
Content,02eb2837e7302e52e996ebb4515ac3c5,5,0.0,0.0,0.0,0.0
Content,02eb2837e7302e52e996ebb4515ac3c5,10,0.0,0.0,0.0,0.0
Content,02eb2837e7302e52e996ebb4515ac3c5,20,0.0,0.0,0.0,0.0
Content,02fbe4db886eb98774c8ba300d39fa79,5,0.0,0.0,0.0,0.0
Content,02fbe4db886eb98774c8ba300d39fa79,10,0.0,0.0,0.0,0.0
Content,02fbe4db886eb98774c8ba300d39fa79,20,0.0,0.0,0.0,0.0
Content,031ea691b99fc101dcad357d1a83573f,5,0.0,0.0,0.0,0.0
Content,031ea691b99fc101dcad357d1a83573f,10,0.0,0.0,0.0,0.0
Content,031ea691b99fc101dcad357d1a83573f,20,0.0,0.0,0.0,0.0
Content,032b3a42598667caf2e099999b9dc1b9,5,0.0,0.0,0.0,0.0
Content,032b3a42598667caf2e099999b9dc1b9,10,0.0,0.0,0.0,0.0
Content,032b3a42598667caf2e099999b9dc1b9,20,0.0,0.0,0.0,0.0
Content,0333b2fc6ba7014702e08ef613850270,5,0.0,0.0,0.0,0.0
Content,0333b2fc6ba7014702e08ef613850270,10,0.0,0.0,0.0,0.0
Content,0333b2fc6ba7014702e08ef613850270,20,0.0,0.0,0.0,0.0
Content,0341bbd5c969923a0f801b9e2d10a7b8,5,0.0,0.0,0.0,0.0
Content,0341bbd5c969923a0f801b9e2d10a7b8,10,0.0,0.0,0.0,0.0
Content,0341bbd5c969923a0f801b9e2d10a7b8,20,0.0,0.0,0.0,0.0
Content,035e7cd88b7450fd33efeca817081a53,5,0.0,0.0,0.0,0.0
Content,035e7cd88b7450fd33efeca817081a53,10,0.0,0.0,0.0,0.0
Content,035e7cd88b7450fd33efeca817081a53,20,0.0,0.0,0.0,0.0
Content,0361e980b28826f4d286ac144d9b319a,5,0.0,0.0,0.0,0.0
Content,0361e980b28826f4d286ac144d9b319a,10,0.0,0.0,0.0,0.0
Content,0361e980b28826f4d286ac144d9b319a,20,0.0,0.0,0.0,0.0
Content,038301b43811478e1a8dc0e476eaf52e,5,0.0,0.0,0.0,0.0
Content,038301b43811478e1a8dc0e476eaf52e,10,0.0,0.0,0.0,0.0
Content,038301b43811478e1a8dc0e476eaf52e,20,0.0,0.0,0.0,0.0
Content,0396c443fdda5498c7e9ed5b34871c5a,5,0.0,0.0,0.0,0.0
Content,0396c443fdda5498c7e9ed5b34871c5a,10,0.0,0.0,0.0,0.0
Content,0396c443fdda5498c7e9ed5b34871c5a,20,0.0,0.0,0.0,0.0
Content,03d4953a455f8489e712ea80699de878,5,0.0,0.0,0.0,0.0
Content,03d4953a455f8489e712ea80699de878,10,0.0,0.0,0.0,0.0
Content,03d4953a455f8489e712ea80699de878,20,0.0,0.0,0.0,0.0
Content,03dabd77cb0ed7a26fafe19e36b67742,5,0.0,0.0,0.0,0.0
Content,03dabd77cb0ed7a26fafe19e36b67742,10,0.0,0.0,0.0,0.0
Content,03dabd77cb0ed7a26fafe19e36b67742,20,0.0,0.0,0.0,0.0
Content,03ef7f03905227e15c7b6c860554b3cb,5,0.0,0.0,0.0,0.0
Content,03ef7f03905227e15c7b6c860554b3cb,10,0.0,0.0,0.0,0.0
Content,03ef7f03905227e15c7b6c860554b3cb,20,0.0,0.0,0.0,0.0
Content,041caba6a63ace5818387698ea85cdb2,5,0.0,0.0,0.0,0.0
Content,041caba6a63ace5818387698ea85cdb2,10,0.0,0.0,0.0,0.0
Content,041caba6a63ace5818387698ea85cdb2,20,0.0,0.0,0.0,0.0
Content,043aee247e71edff7045664609f4d806,5,0.0,0.0,0.0,0.0
Content,043aee247e71edff7045664609f4d806,10,0.0,0.0,0.0,0.0
Content,043aee247e71edff7045664609f4d806,20,0.0,0.0,0.0,0.0
Content,0451ef5a31cea3e14ce02d768d7c9943,5,0.0,0.0,0.0,0.0
Content,0451ef5a31cea3e14ce02d768d7c9943,10,0.1,1.0,0.3010299956639812,1.0
Content,0451ef5a31cea3e14ce02d768d7c9943,20,0.05,1.0,0.3010299956639812,1.0
Content,0488328f0b499963e32a37fa42a20ca0,5,0.0,0.0,0.0,0.0
Content,0488328f0b499963e32a37fa42a20ca0,10,0.0,0.0,0.0,0.0
Content,0488328f0b499963e32a37fa42a20ca0,20,0.0,0.0,0.0,0.0
Content,048dbdf8f9bbd1be87b25868d1408311,5,0.0,0.0,0.0,0.0
Content,048dbdf8f9bbd1be87b25868d1408311,10,0.0,0.0,0.0,0.0
Content,048dbdf8f9bbd1be87b25868d1408311,20,0.0,0.0,0.0,0.0
Content,048df8b25dc48e1554eccde119d6cecd,5,0.0,0.0,0.0,0.0
Content,048df8b25dc48e1554eccde119d6cecd,10,0.0,0.0,0.0,0.0
Content,048df8b25dc48e1554eccde119d6cecd,20,0.0,0.0,0.0,0.0
Content,04be500031efe43d2defff8c41810543,5,0.0,0.0,0.0,0.0
Content,04be500031efe43d2defff8c41810543,10,0.0,0.0,0.0,0.0
Content,04be500031efe43d2defff8c41810543,20,0.0,0.0,0.0,0.0
Content,04d3c2795b83634312bf3f86f41f7901,5,0.0,0.0,0.0,0.0
Content,04d3c2795b83634312bf3f86f41f7901,10,0.0,0.0,0.0,0.0
Content,04d3c2795b83634312bf3f86f41f7901,20,0.0,0.0,0.0,0.0
Content,04e495a3f45df8b41be2e934bbc16961,5,0.0,0.0,0.0,0.0
Content,04e495a3f45df8b41be2e934bbc16961,10,0.0,0.0,0.0,0.0
Content,04e495a3f45df8b41be2e934bbc16961,20,0.0,0.0,0.0,0.0
Content,04e9d0d712ca6da77124d0ee12be1d6a,5,0.0,0.0,0.0,0.0
Content,04e9d0d712ca6da77124d0ee12be1d6a,10,0.0,0.0,0.0,0.0
Content,04e9d0d712ca6da77124d0ee12be1d6a,20,0.0,0.0,0.0,0.0
Content,04fc637963fe982dd25ac58e4f4770c1,5,0.0,0.0,0.0,0.0
Content,04fc637963fe982dd25ac58e4f4770c1,10,0.0,0.0,0.0,0.0
Content,04fc637963fe982dd25ac58e4f4770c1,20,0.0,0.0,0.0,0.0
Content,0509ab034845adb0b4c91b6f0e7b7260,5,0.0,0.0,0.0,0.0
Content,0509ab034845adb0b4c91b6f0e7b7260,10,0.0,0.0,0.0,0.0
Content,0509ab034845adb0b4c91b6f0e7b7260,20,0.0,0.0,0.0,0.0
Content,053b7090271ed4dacbfe0afd6382bbab,5,0.0,0.0,0.0,0.0
Content,053b7090271ed4dacbfe0afd6382bbab,10,0.0,0.0,0.0,0.0
Content,053b7090271ed4dacbfe0afd6382bbab,20,0.0,0.0,0.0,0.0
Content,053f7850c3ffd9726cff61c7e42af797,5,0.2,1.0,1.0,1.0
Content,053f7850c3ffd9726cff61c7e42af797,10,0.1,1.0,1.0,1.0
Content,053f7850c3ffd9726cff61c7e42af797,20,0.05,1.0,1.0,1.0
Content,055ec572ac7f3c7bdd04a183830ebe59,5,0.0,0.0,0.0,0.0
Content,055ec572ac7f3c7bdd04a183830ebe59,10,0.0,0.0,0.0,0.0
Content,055ec572ac7f3c7bdd04a183830ebe59,20,0.0,0.0,0.0,0.0
Content,05669445931c028d97b7c0637b5a2359,5,0.0,0.0,0.0,0.0
Content,05669445931c028d97b7c0637b5a2359,10,0.0,0.0,0.0,0.0
Content,05669445931c028d97b7c0637b5a2359,20,0.0,0.0,0.0,0.0
Content,0570089e1e1b3cf57b7f7d545cb204aa,5,0.0,0.0,0.0,0.0
Content,0570089e1e1b3cf57b7f7d545cb204aa,10,0.0,0.0,0.0,0.0
Content,0570089e1e1b3cf57b7f7d545cb204aa,20,0.0,0.0,0.0,0.0
Content,0577db0efc765dafeb6ff6ad59238c0e,5,0.2,1.0,1.0,1.0
Content,0577db0efc765dafeb6ff6ad59238c0e,10,0.1,1.0,1.0,1.0
Content,0577db0efc765dafeb6ff6ad59238c0e,20,0.05,1.0,1.0,1.0
Content,059d1f5650f05d9fed9a6d941593f9b4,5,0.0,0.0,0.0,0.0
Content,059d1f5650f05d9fed9a6d941593f9b4,10,0.0,0.0,0.0,0.0
Content,059d1f5650f05d9fed9a6d941593f9b4,20,0.0,0.0,0.0,0.0
Content,059e7585d8fcd2430a33375bdbcbb990,5,0.0,0.0,0.0,0.0
Content,059e7585d8fcd2430a33375bdbcbb990,10,0.0,0.0,0.0,0.0
Content,059e7585d8fcd2430a33375bdbcbb990,20,0.0,0.0,0.0,0.0
Content,05e52c1f96f8b83dd66dcdce679ff58d,5,0.0,0.0,0.0,0.0
Content,05e52c1f96f8b83dd66dcdce679ff58d,10,0.0,0.0,0.0,0.0
Content,05e52c1f96f8b83dd66dcdce679ff58d,20,0.0,0.0,0.0,0.0
Content,05edb10f73fe7d03959ff26540913b3a,5,0.0,0.0,0.0,0.0
Content,05edb10f73fe7d03959ff26540913b3a,10,0.0,0.0,0.0,0.0
Content,05edb10f73fe7d03959ff26540913b3a,20,0.0,0.0,0.0,0.0
Content,05ef855308303397f1427f29470bb6ab,5,0.0,0.0,0.0,0.0
Content,05ef855308303397f1427f29470bb6ab,10,0.0,0.0,0.0,0.0
Content,05ef855308303397f1427f29470bb6ab,20,0.0,0.0,0.0,0.0
Content,060f9ea0a180843fb91d4923b6d01bea,5,0.0,0.0,0.0,0.0
Content,060f9ea0a180843fb91d4923b6d01bea,10,0.0,0.0,0.0,0.0
Content,060f9ea0a180843fb91d4923b6d01bea,20,0.0,0.0,0.0,0.0
Content,0621c2a5979d3e887ae519620cbe2926,5,0.0,0.0,0.0,0.0
Content,0621c2a5979d3e887ae519620cbe2926,10,0.0,0.0,0.0,0.0
Content,0621c2a5979d3e887ae519620cbe2926,20,0.0,0.0,0.0,0.0
Content,065102c8bb5cf4f308cd356e74343c2c,5,0.0,0.0,0.0,0.0
Content,065102c8bb5cf4f308cd356e74343c2c,10,0.0,0.0,0.0,0.0
Content,065102c8bb5cf4f308cd356e74343c2c,20,0.0,0.0,0.0,0.0
Content,065938485846aa5adc196cb536de42e0,5,0.2,1.0,1.0,1.0
Content,065938485846aa5adc196cb536de42e0,10,0.1,1.0,1.0,1.0
Content,065938485846aa5adc196cb536de42e0,20,0.05,1.0,1.0,1.0
Content,065dcef61d5f66b30d2ee51b5343d023,5,0.0,0.0,0.0,0.0
Content,065dcef61d5f66b30d2ee51b5343d023,10,0.0,0.0,0.0,0.0
Content,065dcef61d5f66b30d2ee51b5343d023,20,0.0,0.0,0.0,0.0
Content,066ee6b9c6fc284260ff9a1274a82ca7,5,0.0,0.0,0.0,0.0
Content,066ee6b9c6fc284260ff9a1274a82ca7,10,0.0,0.0,0.0,0.0
Content,066ee6b9c6fc284260ff9a1274a82ca7,20,0.0,0.0,0.0,0.0
Content,0697142614905a50813d854fa08b8eaf,5,0.0,0.0,0.0,0.0
Content,0697142614905a50813d854fa08b8eaf,10,0.0,0.0,0.0,0.0
Content,0697142614905a50813d854fa08b8eaf,20,0.0,0.0,0.0,0.0
Content,06a52782a04f0086d16b9c22d0e29438,5,0.0,0.0,0.0,0.0
Content,06a52782a04f0086d16b9c22d0e29438,10,0.0,0.0,0.0,0.0
Content,06a52782a04f0086d16b9c22d0e29438,20,0.0,0.0,0.0,0.0
Content,06b609212808563b18a3f818b86dd01d,5,0.0,0.0,0.0,0.0
Content,06b609212808563b18a3f818b86dd01d,10,0.0,0.0,0.0,0.0
Content,06b609212808563b18a3f818b86dd01d,20,0.0,0.0,0.0,0.0
Content,06c0ea6ee892364d1608ee47aa9f56a0,5,0.0,0.0,0.0,0.0
Content,06c0ea6ee892364d1608ee47aa9f56a0,10,0.0,0.0,0.0,0.0
Content,06c0ea6ee892364d1608ee47aa9f56a0,20,0.0,0.0,0.0,0.0
Content,06d26e5230ac619719997a8cf435a69b,5,0.0,0.0,0.0,0.0
Content,06d26e5230ac619719997a8cf435a69b,10,0.0,0.0,0.0,0.0
Content,06d26e5230ac619719997a8cf435a69b,20,0.0,0.0,0.0,0.0
Content,070acf4df1234a6257809e4e79644481,5,0.0,0.0,0.0,0.0
Content,070acf4df1234a6257809e4e79644481,10,0.0,0.0,0.0,0.0
Content,070acf4df1234a6257809e4e79644481,20,0.0,0.0,0.0,0.0
Content,0710e0c85fe7cb494d624e0863782e46,5,0.0,0.0,0.0,0.0
Content,0710e0c85fe7cb494d624e0863782e46,10,0.0,0.0,0.0,0.0
Content,0710e0c85fe7cb494d624e0863782e46,20,0.0,0.0,0.0,0.0
Content,071bb277b0146da77fac31e70657815e,5,0.0,0.0,0.0,0.0
Content,071bb277b0146da77fac31e70657815e,10,0.0,0.0,0.0,0.0
Content,071bb277b0146da77fac31e70657815e,20,0.0,0.0,0.0,0.0
Content,071fb07419a29c8ba143831082e0320a,5,0.0,0.0,0.0,0.0
Content,071fb07419a29c8ba143831082e0320a,10,0.0,0.0,0.0,0.0
Content,071fb07419a29c8ba143831082e0320a,20,0.0,0.0,0.0,0.0
Content,07342638d0e0aad32c3cf0efc1a37ba5,5,0.0,0.0,0.0,0.0
Content,07342638d0e0aad32c3cf0efc1a37ba5,10,0.0,0.0,0.0,0.0
Content,07342638d0e0aad32c3cf0efc1a37ba5,20,0.0,0.0,0.0,0.0
Content,0751ebe1c05ef7a632934adae06c6d4a,5,0.0,0.0,0.0,0.0
Content,0751ebe1c05ef7a632934adae06c6d4a,10,0.0,0.0,0.0,0.0
Content,0751ebe1c05ef7a632934adae06c6d4a,20,0.0,0.0,0.0,0.0
Content,075c38f7a650b0dc822712c7a58e93d4,5,0.0,0.0,0.0,0.0
Content,075c38f7a650b0dc822712c7a58e93d4,10,0.0,0.0,0.0,0.0
Content,075c38f7a650b0dc822712c7a58e93d4,20,0.0,0.0,0.0,0.0
Content,076b7055bea51da430d6a6fa054e5075,5,0.0,0.0,0.0,0.0
Content,076b7055bea51da430d6a6fa054e5075,10,0.0,0.0,0.0,0.0
Content,076b7055bea51da430d6a6fa054e5075,20,0.0,0.0,0.0,0.0
Content,077d1d4b18c096ea1ec611d6a3701056,5,0.0,0.0,0.0,0.0
Content,077d1d4b18c096ea1ec611d6a3701056,10,0.0,0.0,0.0,0.0
Content,077d1d4b18c096ea1ec611d6a3701056,20,0.0,0.0,0.0,0.0
Content,078f7e669cebf2fb640d0ad0dabb3068,5,0.0,0.0,0.0,0.0
Content,078f7e669cebf2fb640d0ad0dabb3068,10,0.0,0.0,0.0,0.0
Content,078f7e669cebf2fb640d0ad0dabb3068,20,0.0,0.0,0.0,0.0
Content,07abcea6f64399366559afee336a7fd2,5,0.0,0.0,0.0,0.0
Content,07abcea6f64399366559afee336a7fd2,10,0.0,0.0,0.0,0.0
Content,07abcea6f64399366559afee336a7fd2,20,0.0,0.0,0.0,0.0
Content,07b1b60bca2b6326fa2adb259ea4a55f,5,0.0,0.0,0.0,0.0
Content,07b1b60bca2b6326fa2adb259ea4a55f,10,0.0,0.0,0.0,0.0
Content,07b1b60bca2b6326fa2adb259ea4a55f,20,0.0,0.0,0.0,0.0
Content,07b28cf1d8515d08ccca505e273fffaf,5,0.0,0.0,0.0,0.0
Content,07b28cf1d8515d08ccca505e273fffaf,10,0.0,0.0,0.0,0.0
Content,07b28cf1d8515d08ccca505e273fffaf,20,0.0,0.0,0.0,0.0
Content,07bd3d18ecba2420a8934b34a26f157a,5,0.0,0.0,0.0,0.0
Content,07bd3d18ecba2420a8934b34a26f157a,10,0.1,1.0,0.3333333333333333,1.0
Content,07bd3d18ecba2420a8934b34a26f157a,20,0.05,1.0,0.3333333333333333,1.0
Content,07df27b714016cb827c99ec2ecd5ebfb,5,0.0,0.0,0.0,0.0
Content,07df27b714016cb827c99ec2ecd5ebfb,10,0.0,0.0,0.0,0.0
Content,07df27b714016cb827c99ec2ecd5ebfb,20,0.0,0.0,0.0,0.0
Content,07f61caa1c9e850c14e94854cec87545,5,0.0,0.0,0.0,0.0
Content,07f61caa1c9e850c14e94854cec87545,10,0.0,0.0,0.0,0.0
Content,07f61caa1c9e850c14e94854cec87545,20,0.0,0.0,0.0,0.0
Content,07f765655f560c8624267665ce23675a,5,0.0,0.0,0.0,0.0
Content,07f765655f560c8624267665ce23675a,10,0.0,0.0,0.0,0.0
Content,07f765655f560c8624267665ce23675a,20,0.0,0.0,0.0,0.0
Content,07ff81a9676efa0286ddd3f09e7c0063,5,0.0,0.0,0.0,0.0
Content,07ff81a9676efa0286ddd3f09e7c0063,10,0.0,0.0,0.0,0.0
Content,07ff81a9676efa0286ddd3f09e7c0063,20,0.0,0.0,0.0,0.0
Content,0802a1a217680f13264a70ddb7220823,5,0.0,0.0,0.0,0.0
Content,0802a1a217680f13264a70ddb7220823,10,0.0,0.0,0.0,0.0
Content,0802a1a217680f13264a70ddb7220823,20,0.0,0.0,0.0,0.0
Content,0807baeeeaa1309effbd9a9dee41ab17,5,0.0,0.0,0.0,0.0
Content,0807baeeeaa1309effbd9a9dee41ab17,10,0.0,0.0,0.0,0.0
Content,0807baeeeaa1309effbd9a9dee41ab17,20,0.0,0.0,0.0,0.0
Content,083ca1aa470c280236380973a48f77c6,5,0.0,0.0,0.0,0.0
Content,083ca1aa470c280236380973a48f77c6,10,0.0,0.0,0.0,0.0
Content,083ca1aa470c280236380973a48f77c6,20,0.0,0.0,0.0,0.0
Content,083ce299ea3fc1eba79bd0b17f64555b,5,0.0,0.0,0.0,0.0
Content,083ce299ea3fc1eba79bd0b17f64555b,10,0.0,0.0,0.0,0.0
Content,083ce299ea3fc1eba79bd0b17f64555b,20,0.0,0.0,0.0,0.0
Content,084be429c23e342acf5084ac6156d22e,5,0.0,0.0,0.0,0.0
Content,084be429c23e342acf5084ac6156d22e,10,0.0,0.0,0.0,0.0
Content,084be429c23e342acf5084ac6156d22e,20,0.0,0.0,0.0,0.0
Content,0895c61a77b305efdfad13596c749c60,5,0.0,0.0,0.0,0.0
Content,0895c61a77b305efdfad13596c749c60,10,0.0,0.0,0.0,0.0
Content,0895c61a77b305efdfad13596c749c60,20,0.0,0.0,0.0,0.0
Content,089bc915af34d9041b3a88a1aa84292b,5,0.0,0.0,0.0,0.0
Content,089bc915af34d9041b3a88a1aa84292b,10,0.0,0.0,0.0,0.0
Content,089bc915af34d9041b3a88a1aa84292b,20,0.0,0.0,0.0,0.0
Content,08a374bca4063116d5530a7b04ecaf3f,5,0.0,0.0,0.0,0.0
Content,08a374bca4063116d5530a7b04ecaf3f,10,0.0,0.0,0.0,0.0
Content,08a374bca4063116d5530a7b04ecaf3f,20,0.0,0.0,0.0,0.0
Content,08b57f87bc889756ca453bf8106d48ce,5,0.0,0.0,0.0,0.0
Content,08b57f87bc889756ca453bf8106d48ce,10,0.0,0.0,0.0,0.0
Content,08b57f87bc889756ca453bf8106d48ce,20,0.0,0.0,0.0,0.0
Content,08c07c761592a71b85136aa4fe76a6f4,5,0.0,0.0,0.0,0.0
Content,08c07c761592a71b85136aa4fe76a6f4,10,0.0,0.0,0.0,0.0
Content,08c07c761592a71b85136aa4fe76a6f4,20,0.0,0.0,0.0,0.0
Content,08d8ad84b0088cbeae77da4ff3817479,5,0.0,0.0,0.0,0.0
Content,08d8ad84b0088cbeae77da4ff3817479,10,0.0,0.0,0.0,0.0
Content,08d8ad84b0088cbeae77da4ff3817479,20,0.0,0.0,0.0,0.0
